
="",="(1)",="(2)",="(3)",="(4)"
="",="Q0.1",="Q0.5",="Q0.9",="OLS"

="newvalue_capita_dm",="27668.5309***",="28481.7538***",="35686.3347***",="34962.5846***"
="",="(4815.0275)",="(4763.0947)",="(7135.9160)",="(4117.5931)"

="N",="24624",="24624",="24624",="24624"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
